Bin,Article Name,Number of Images,Number of Sections,Number of Sentences,Number of Words,Number of References
Featured,Final_Fantasy,8,8,285,6687,190
Featured,European_storm_petrel,9,11,160,3853,81
Featured,Francium,7,9,107,2340,38
Featured,Vasa_(ship),18,13,321,8941,67
Featured,Convention_of_1833,3,10,160,3148,50
Featured,The_Magdalen_Reading,16,8,133,3605,61
Featured,The_FP,7,8,175,3871,61
Featured,Fantastic_Novels,3,7,41,1137,16
Featured,Queluz_National_Palace,21,10,146,3670,33
Featured,M-553_(Michigan_highway),12,9,125,3031,66
Featured,Silent_Alarm,3,12,136,3399,77
Featured,Carnotaurus,12,9,150,3426,96
Featured,Madlax,4,7,90,2692,48
Featured,Battle_of_Bosworth_Field,31,10,373,9092,192
Featured,Hotel_Chevalier,2,7,73,1859,25
Featured,Yellow-tailed_black_cockatoo,10,7,148,3391,55
Featured,Great_Lakes_Storm_of_1913,16,9,93,2302,31
Featured,Alfred_Russel_Wallace,19,11,386,10867,177
Featured,Acid2,21,10,49,1149,83
Featured,Australia,34,16,312,7914,348
Featured,Istanbul,57,19,455,11845,350
Featured,West_Indian_cricket_team_in_England_in_1988,2,8,96,3306,36
Featured,Lactifluus_volemus,9,8,119,2491,62
Featured,Operation_Passage_to_Freedom,8,9,342,8145,94
Featured,Homer%27s_Phobia,4,6,90,2256,33
Featured,Beyond_Fantasy_Fiction,3,5,51,1311,18
Featured,I._M._Pei,28,9,497,9999,157
Featured,Stuyvesant_High_School,12,12,212,5604,131
Featured,Casino_Royale_(2006_film),8,8,245,6120,121
Featured,Triceratops,28,9,203,5402,105
Featured,SummerSlam_(2003),7,6,134,2633,46
Featured,"Erie,_Pennsylvania",34,17,235,5353,86
Featured,Cyclone_Orson,4,5,67,1280,23
Featured,Dover_Athletic_F.C.,10,11,81,2416,79
Featured,Canadian_heraldry,39,7,85,2756,76
Featured,2006_Westchester_County_tornado,4,6,68,1252,17
Featured,William_D._Boyce,13,10,220,4908,84
Featured,Archaea,11,13,266,6147,202
Featured,Extratropical_cyclone,13,10,115,3353,59
Featured,Henry_I_of_England,22,10,385,9748,380
Featured,Brazilian_battleship_Minas_Geraes,10,9,122,3429,68
Featured,Texas_Revolution,15,12,526,10884,335
Featured,Early_life_of_Samuel_Johnson,10,6,221,5597,113
Featured,Body_Count_(album),3,8,158,3421,47
Featured,Jack_Sparrow,6,7,220,4969,78
Featured,"El_Hatillo_Municipality,_Venezuela",20,12,190,4819,67
Featured,Thylacine,24,12,246,6031,117
Featured,Halo_3_Original_Soundtrack,3,6,53,1472,35
Featured,All_God%27s_Children_Need_Traveling_Shoes,4,9,175,5123,79
Featured,Jaguar,16,10,255,6332,110
Featured,Battle_of_Edson%27s_Ridge,15,8,218,5575,56
Featured,Sviatoslav_I_of_Kiev,13,11,113,2905,51
Featured,Laurence_of_Canterbury,5,9,57,1386,31
Featured,2005_United_States_Grand_Prix,9,9,113,3462,48
Featured,Star_Trek_III:_The_Search_for_Spock,5,9,381,9142,108
Featured,Mascarene_grey_parakeet,8,5,87,2344,17
Featured,Major_depressive_disorder,6,13,406,10168,317
Featured,Bob_Meusel,5,7,84,2186,29
Featured,The_Tower_House,13,7,182,4366,82
Featured,Polyozellus,6,8,73,1731,44
Featured,Alec_Douglas-Home,15,8,389,9837,205
Featured,S%26M_(song),6,15,154,3785,234
Featured,Spinning_Around,4,12,120,2966,74
Featured,Richard_II_of_England,15,16,246,6252,131
Featured,Bootham_Crescent,11,7,165,4069,98
Featured,"Hanged,_drawn_and_quartered",7,5,151,4394,104
Featured,Matanikau_Offensive,10,5,104,3003,37
Featured,Gagak_Item,5,6,32,725,19
Featured,Aldwych_tube_station,14,5,98,2558,55
Featured,Head_VI,9,7,128,3479,51
Featured,Adelaide_Anne_Procter,2,6,72,2050,48
Featured,Love_the_Way_You_Lie,11,17,263,5558,237
Featured,Rochester_Castle,17,9,333,6908,86
Featured,Design_1047_battlecruiser,7,9,111,3696,79
Featured,British_Empire,31,11,357,10366,240
Featured,1910_Cuba_hurricane,6,6,107,2001,22
Featured,Sacrifice_(video_game),6,5,174,3912,69
Featured,From_The_Doctor_to_my_son_Thomas,6,12,84,1940,47
Featured,Scottish_National_Antarctic_Expedition,9,8,140,3516,60
Featured,Kenneth_Widmerpool,6,7,158,4307,80
Featured,M-553_(Michigan_highway),12,9,125,3031,66
Featured,Harriet_Bosse,6,7,128,3345,60
Featured,Tropical_Storm_Faxai_(2007),4,5,52,1066,21
Featured,Benjamin_Harrison,31,14,339,8101,172
Featured,Arnold_Bax,8,7,238,6041,124
Featured,Theoren_Fleury,4,7,240,5757,155
Featured,Samuel_Johnson,18,9,445,11161,243
Featured,Macintosh_Classic,3,9,81,2103,29
Featured,Ficus_aurea,5,8,124,2719,48
Featured,Meteorological_history_of_Hurricane_Jeanne,7,6,94,2253,44
Featured,Monte_Ne,11,14,350,6786,68
Featured,SMS_Westfalen,5,4,134,3116,51
Featured,Imleria_badia,7,9,114,2454,62
Featured,Sir_Gawain_and_the_Green_Knight,11,10,381,9218,113
Featured,Elaine_Paige,2,8,191,5068,98
Featured,Singapore_strategy,15,9,273,6489,117
Featured,Liverpool_F.C.,39,12,210,4867,155
Featured,New_York_State_Route_22,18,8,196,5194,49
Featured,Jin%E2%80%93Song_Wars,18,6,461,9496,182
Featured,Indian_Head_gold_pieces,10,6,119,3221,40
Featured,Operation_Cobra,17,8,145,4667,112
Featured,Yttrium,10,11,146,3508,76
Featured,Arthur_Mold,4,7,156,3833,67
Featured,Star,25,15,365,9316,156
Featured,Blackburn_Olympic_F.C.,8,10,99,2631,54
Featured,School_for_Creative_and_Performing_Arts,14,10,252,6346,160
Featured,"Stephens_City,_Virginia",9,12,156,3434,92
Featured,"The_Adventures_of_Brisco_County,_Jr.",4,8,307,6769,100
Featured,Kinzua_Bridge,11,9,111,2702,46
Featured,Ice_(The_X-Files),3,7,87,2051,39
Featured,SMS_Ostfriesland,8,4,190,4138,64
Featured,Gustav_Mahler,23,6,362,9590,190
Featured,Battle_of_%C3%96land,6,9,134,3466,43
Featured,Reactive_attachment_disorder,2,11,232,6184,103
Featured,Lieutenant_Governor_of_New_Jersey,11,8,98,2901,63
Featured,Melford_Stevenson,1,5,98,2710,54
Featured,Bramshill_House,16,7,174,4425,99
Featured,Ray_Lindwall_with_the_Australian_cricket_team_in_England_in_1948,2,12,359,8534,146
Featured,Of_Human_Feelings,3,12,113,2964,60
Featured,Soeara_Berbisa,6,7,37,824,18
Featured,Confirmation_bias,9,12,347,7495,147
Featured,Basiliscus,4,9,88,2253,25
Featured,Be_Here_Now_(album),3,10,164,3712,75
Featured,Japanese_aircraft_carrier_Kaga,12,10,227,5779,97
Featured,Western_Front_(World_War_I),19,10,256,6424,107
Featured,Henry_I_of_England,22,10,385,9748,380
Featured,Johnson_Creek_(Willamette_River),14,11,178,4527,58
Featured,The_Halo_Graphic_Novel,2,5,76,2398,31
Featured,Joel_Selwood,6,10,224,6560,132
Featured,Interstate_696,11,7,93,2094,37
Featured,Jack_Crawford_(cricketer),6,9,287,7057,127
Featured,Atomic_line_filter,8,10,120,2761,37
Featured,American_Beauty_(1999_film),5,8,503,12270,222
Featured,Defense_of_the_Ancients,4,5,73,1812,45
Featured,Richard_II_of_England,15,16,246,6252,131
Featured,Cleveland_Bay,8,6,103,2589,36
Featured,Morotai_Mutiny,5,6,91,2184,21
Featured,Victoria_Cross_(Canada),6,9,46,1949,35
Featured,Nico_Ditch,3,6,33,806,16
Featured,History_of_American_football,25,11,508,12355,167
Featured,Hurricane_Danny_(1997),8,7,130,3177,31
Featured,Benjamin_Franklin_Tilley,5,7,110,2377,32
Featured,Hey_Baby_(No_Doubt_song),4,10,71,1632,44
Featured,Ellis_Paul,5,17,261,6167,83
Featured,Tenebrae_(film),6,10,341,8853,91
Featured,Bird,74,9,466,10672,259
Featured,Frank_Klepacki,4,9,235,5163,70
Featured,Australian_contribution_to_the_Battle_of_Normandy,7,7,268,5453,121
Featured,Aliso_Creek_(Orange_County),112,10,251,6827,71
Featured,Noble_gas,35,9,159,4457,76
Featured,The_Bus_Uncle,3,7,101,2440,43
Featured,William_III_of_England,24,14,258,7216,151
Featured,U.S._Route_113,17,8,273,7198,121
Featured,X%C3%A1_L%E1%BB%A3i_Pagoda_raids,12,11,259,6251,95
Featured,Borobudur,58,13,332,8038,94
Featured,Charles_Edward_Magoon,5,5,99,2403,28
Featured,St._Michael%27s_Golden-Domed_Monastery,13,5,94,2381,21
Featured,Ehime_Maru_and_USS_Greeneville_collision,20,13,258,6409,75
Featured,Camille_Saint-Sa%C3%ABns,17,5,328,8617,179
Featured,Ian_Dougald_McLachlan,5,6,102,2335,54
Featured,Winter_service_vehicle,19,9,150,4318,71
Featured,13th_Airborne_Division_(United_States),3,8,71,2331,28
Featured,SMS_Th%C3%BCringen,5,4,154,3527,59
Featured,Sexuality_after_spinal_cord_injury,13,10,309,7339,154
Featured,Alpine_chough,9,7,97,2465,54
Featured,Ernie_Toshack_with_the_Australian_cricket_team_in_England_in_1948,2,10,181,4289,94
Featured,George_Washington_(inventor),6,11,83,2153,32
Featured,The_Sun_Also_Rises,8,9,284,6545,117
Featured,Eagle_(British_comics),4,6,167,3986,88
Featured,Scottish_Parliament_Building,17,11,253,6946,92
Featured,Rolls-Royce_R,13,10,161,4617,92
Featured,Myriostoma,4,6,71,1667,57
Featured,Todd_Manning,8,8,642,14770,121
Featured,African_river_martin,4,8,88,2115,33
Featured,Rashtrakuta_dynasty,12,8,262,6252,193
Featured,MTR,34,15,319,8252,98
Featured,"Mereka_Bilang,_Saya_Monyet!",1,9,81,1974,42
Featured,Ice_(The_X-Files),3,7,87,2051,39
Featured,Battle_of_Agua_Dulce,3,8,107,2139,49
Featured,Courageous-class_aircraft_carrier,13,8,245,5759,64
Featured,Coenred_of_Mercia,3,6,59,1519,37
Featured,Niobium,12,8,174,4108,97
Featured,Alben_W._Barkley,19,10,388,9449,185
Featured,Aylesbury_duck,5,8,142,3778,53
Featured,Osteochondritis_dissecans,10,12,171,3817,99
Featured,No._450_Squadron_RAAF,8,8,137,2455,67
Featured,SR_Merchant_Navy_class,10,18,178,4555,63
Featured,Misterioso_(Thelonious_Monk_album),5,11,77,2184,40
Featured,Tanque_Argentino_Mediano,8,9,99,2310,35
Featured,Don_Dunstan,10,11,422,10089,172
Featured,Eus%C3%A8be_Jaojoby,2,8,93,2607,23
Featured,Alice_Ayres,6,5,115,3813,58
Featured,Jack_Parsons_(rocket_engineer),28,9,433,12812,222
Featured,Herbert_Greenfield,6,8,181,4805,64
Featured,Battlefield_Earth_(film),8,10,285,6948,138
Featured,Birmingham_campaign,11,8,321,7062,126
Featured,Yogo_sapphire,15,10,265,6137,105
Featured,Master_Juba,6,9,286,6963,91
Featured,The_Boat_Race_1993,7,6,65,1569,32
Featured,Upper_Pine_Bottom_State_Park,12,8,142,3755,58
Featured,Moors_murders,13,14,438,11270,224
Featured,Gabriel_Faur%C3%A9,11,5,305,7195,178
Featured,Nigel_(bishop_of_Ely),4,11,168,4490,106
Featured,Grim_Fandango,9,9,207,6031,133
Featured,Chalciporus_piperatus,5,8,76,1501,42
Featured,Learie_Constantine,6,12,378,9358,239
Featured,Folding@home,12,10,309,7435,198
Featured,Jack_Marsh,2,12,181,3916,42
Featured,HMS_Formidable_(67),10,8,238,5836,91
Featured,Rings_of_Neptune,6,9,105,2464,33
Featured,Cycling_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_individual_road_race,10,8,85,2023,43
Featured,Small-toothed_sportive_lemur,6,7,78,1872,30
Featured,Three_Beauties_of_the_Present_Day,11,5,74,1846,37
Featured,Il_ritorno_d%27Ulisse_in_patria,8,11,171,4734,92
Featured,Holy_Thorn_Reliquary,17,9,112,3796,55
Featured,Deinonychus,16,8,196,5024,67
Featured,Andrew_Johnston_(singer),2,5,75,1717,47
Featured,Hilda_Rix_Nicholas,7,10,229,6190,136
Featured,Isle_of_Portland,17,12,169,4433,90
Featured,Construction_of_the_World_Trade_Center,9,7,208,5251,115
Featured,Gorgosaurus,14,8,148,3015,45
Featured,Talbot_Baines_Reed,9,12,155,3742,63
Featured,Minas_Geraes-class_battleship,11,10,144,4146,111
Featured,Ring-tailed_lemur,18,10,294,6367,70
Featured,Polyozellus,6,8,73,1731,44
Featured,2005_Azores_subtropical_storm,3,5,35,758,10
Featured,Banksia_marginata,11,7,171,3793,74
Featured,Kakapo,17,9,281,6443,87
Featured,HMS_New_Zealand_(1911),11,7,205,5391,68
Featured,Meshuggah,6,9,228,4618,103
Featured,Rudolf_Caracciola,9,15,270,6563,133
Featured,Jim_Thorpe,12,13,221,5313,89
Featured,Reign_in_Blood,2,15,139,3198,66
Featured,Charles_Scott_(governor),14,8,378,8890,155
Featured,Ketuanan_Melayu,10,9,593,15381,231
Featured,Osteochondritis_dissecans,10,12,171,3817,99
Featured,Super_Columbine_Massacre_RPG!,7,7,156,3988,56
Featured,2005_Texas_Longhorns_football_team,15,10,382,8565,239
Featured,The_Bus_Uncle,3,7,101,2440,43
Featured,Bramshill_House,16,7,174,4425,99
Featured,Neil_Brooks,1,11,179,4604,35
Featured,DNA,29,12,341,8315,209
Featured,Alpine_chough,9,7,97,2465,54
Featured,Suillus_pungens,8,6,91,2110,17
Featured,Turning_Point_(2008_wrestling),5,8,126,2672,36
Featured,1950_Atlantic_hurricane_season,25,7,185,3828,41
Featured,Blue_iguana,7,7,144,3647,49
Featured,Imleria_badia,7,9,114,2454,62
Featured,Invisible_rail,5,8,62,1566,20
Featured,J._K._Rowling,13,10,296,7243,228
Featured,Not_My_Life,13,9,194,5273,65
Featured,Kingdom_of_Mysore,25,10,323,7918,175
Featured,1991_Atlantic_hurricane_season,26,8,196,4058,100
Featured,Boletus_edulis,16,10,213,5323,141
Featured,Rolls-Royce_R,13,10,161,4617,92
Featured,Vkhutemas,2,8,80,1978,35
Featured,El_Se%C3%B1or_Presidente,4,11,305,7930,99
Featured,Dishonored,7,8,316,8273,204
Featured,Jefferson_Davis,29,14,426,8906,198
Featured,Frank_Bladin,6,6,100,2404,43
Featured,Phellinus_ellipsoideus,4,7,115,2296,28
Featured,The_Smashing_Pumpkins,9,10,247,6133,140
Featured,Adiantum_viridimontanum,3,8,106,2412,22
Featured,Interstate_70_in_West_Virginia,6,5,63,1423,36
Featured,William_Shakespeare,48,12,294,6893,220
Featured,HMS_Eagle_(1918),9,5,219,5278,74
Featured,California_Chrome,19,10,418,10002,255
Featured,Ellis_Paul,5,17,261,6167,83
Featured,Battle_of_Corydon,16,10,183,4142,71
Featured,California_State_Route_56,8,6,109,2677,76
Featured,Nigersaurus,15,7,119,2557,14
Featured,Galaxy,25,14,256,6082,147
Featured,Niagara_Falls_Suspension_Bridge,13,6,265,6105,123
Featured,Grand_Theft_Auto_V,10,13,261,6162,218
Featured,Supernatural_(season_2),3,7,201,4673,123
Featured,Fantastic_Novels,3,7,41,1137,16
Featured,Neptune,20,15,257,6133,144
Featured,Germany,68,11,540,11856,303
Featured,Quagga,15,6,121,2872,36
Featured,Parasaurolophus,16,8,199,4370,55
Featured,Chinese_classifier,14,10,191,6086,131
Featured,Hoover_Dam,29,9,302,7313,114
Featured,Caesar_cipher,3,6,48,1588,19
Featured,Norton_Priory,16,6,381,8416,184
Featured,George_III_of_the_United_Kingdom,20,16,242,6255,131
Featured,"Augusta,_Lady_Gregory",4,11,75,1994,36
Featured,Hydrogen,17,11,206,5365,129
Featured,"Pedro_Afonso,_Prince_Imperial_of_Brazil",8,6,57,1399,39
Featured,Princess_Charlotte_of_Wales,11,10,255,6039,107
Featured,History_of_timekeeping_devices,31,7,358,9165,159
Featured,Oregon_State_Capitol,16,6,194,4039,45
Featured,Yagan,7,8,256,5656,104
Featured,"Ed,_Edd_n_Eddy",7,9,140,3824,95
Featured,Epsilon_Eridani,9,6,239,5951,121
Featured,Banksia_violacea,7,7,92,1661,21
Featured,Aggie_Bonfire,10,11,220,4902,60
Featured,Jordan_River_(Utah),11,10,187,4790,111
Featured,ARA_Moreno,2,8,78,1943,38
Featured,Acute_myeloid_leukemia,7,11,155,3922,87
Featured,No%C3%ABl_Coward,15,9,289,7317,179
Featured,Thurman_Tucker,2,7,94,2210,47
Featured,Keith_Johnson_(cricket_administrator),2,4,151,3924,63
Featured,Sega_Saturn,20,6,260,7643,229
Featured,Olivia_Shakespear,4,8,219,4894,64
Featured,Third_Servile_War,9,9,131,4249,62
Featured,"Herne_Bay,_Kent",10,19,228,5298,81
Featured,Hod_Stuart,5,9,73,1880,34
Featured,Witold_Lutos%C5%82awski,7,5,151,4508,35
Featured,Crucifixion_and_Last_Judgement_diptych,16,8,190,4882,58
Featured,Pluto,44,15,239,6132,172
Featured,Texas_A%26M_University,26,10,340,8013,236
Featured,Actuary,3,8,104,2952,0
Featured,Muhammad_ibn_Tughj_al-Ikhshid,4,8,164,4723,62
Featured,Battle_of_the_Bismarck_Sea,9,10,233,5200,75
Featured,Adrian_Cole_(RAAF_officer),6,6,104,2398,55
Featured,Bids_for_the_2012_Summer_Olympics,10,7,154,4571,77
Featured,Leg_before_wicket,4,6,149,4161,75
Featured,Styracosaurus,15,7,112,2617,50
Featured,Isopogon_anemonifolius,7,7,96,1744,37
Featured,Rhodotus,7,7,73,2049,56
Featured,Scottish_Parliament,16,16,231,6410,82
Featured,Philip_Seymour_Hoffman,10,8,278,7218,163
Featured,Corinthian_War,6,8,143,3839,45
Featured,Arena_(countermeasure),3,5,55,1292,27
Featured,The_Sixth_Extinction_II:_Amor_Fati,7,8,156,3653,61
Featured,Brown_Dog_affair,15,8,210,5346,84
Featured,Interstate_80_in_Iowa,8,6,222,4191,46
Featured,X-Cops_(The_X-Files),3,7,149,3413,32
Featured,The_Red_Badge_of_Courage,8,11,187,4674,86
Featured,Global_warming,29,15,292,7174,277
Featured,Grey_Cup,11,10,233,5705,130
Featured,"Interstate_80_Business_(West_Wendover,_Nevada%E2%80%93Wendover,_Utah)",7,6,51,1111,39
Featured,American_Airlines_Flight_77,16,8,243,5361,117
Featured,Proserpine_(play),6,10,108,2596,52
Featured,Fantastic_Novels,3,7,41,1137,16
Featured,Noisy_miner,13,7,251,6543,67
Featured,Archaea,11,13,266,6147,202
Featured,Laplace%E2%80%93Runge%E2%80%93Lenz_vector,9,17,116,4853,42
Featured,Trafford,11,11,185,4269,117
Featured,William_F._Raynolds,7,6,103,2945,36
Featured,Representative_peer,6,6,89,2568,41
Featured,Treehouse_of_Horror_(series),9,8,142,3790,77
Featured,%C3%93engus_I,5,9,90,2331,75
Featured,Sky_Blue_Sky,2,8,101,2589,62
Featured,Triangle_(The_X-Files),1,8,180,4150,42
Featured,Coenred_of_Mercia,3,6,59,1519,37
Featured,Hygeberht,1,9,62,1626,31
Featured,Ambrose_Rookwood,2,6,98,2481,34
Featured,California_State_Route_57,5,6,56,1739,46
Featured,Takalik_Abaj,35,11,542,11558,180
Featured,Lead(II)_nitrate,6,9,55,1564,30
Featured,SR_Merchant_Navy_class,10,18,178,4555,63
Featured,Diamond,19,9,310,7420,114
Featured,Edmund_Herring,10,9,192,4456,62
Featured,Casino_Royale_(2006_film),8,8,245,6120,121
Featured,1906_French_Grand_Prix,7,7,120,3560,46
Featured,Peter_Jennings,8,8,291,6412,114
Featured,"Hannah_Primrose,_Countess_of_Rosebery",18,8,268,7382,108
Featured,Hermeneutic_style,3,8,69,2037,48
Featured,Stefan_Lochner,28,9,193,4706,84
Featured,Greed_(film),7,11,390,8959,152
Featured,Rudolf_Wolters,7,7,194,5203,73
Featured,Stella_Gibbons,5,3,202,5122,105
Featured,Marojejy_National_Park,23,8,187,4678,58
Featured,Departures_(2008_film),10,10,271,7230,158
Featured,Eisenhower_dollar,14,9,222,5664,91
Featured,Compsognathus,10,7,90,2149,56
Featured,Rudolf_Vrba,13,10,231,5895,92
Featured,Battle_of_Concepci%C3%B3n,5,9,88,2006,27
Featured,Liverpool_F.C._in_European_football,11,7,201,4527,113
Featured,Three_Studies_for_Figures_at_the_Base_of_a_Crucifixion,6,7,130,3357,56
Featured,The_Human_Centipede_(First_Sequence),7,10,164,4198,99
Featured,Delichon,7,8,88,2125,44
Featured,Penda_of_Mercia,4,13,170,5318,73
Featured,The_Temple_at_Thatch,2,7,84,2181,44
Featured,Metropolitan_Railway,211,7,469,12483,326
Featured,Sam_%26_Max:_Freelance_Police,3,4,54,1448,28
Featured,Killer7,3,8,137,3117,64
Featured,Shojo_Beat,2,6,68,1650,33
Featured,Flow_(video_game),3,6,79,1943,26
Featured,Parity_of_zero,9,7,198,4477,75
Featured,Formation_and_evolution_of_the_Solar_System,13,12,279,7432,134
Featured,Basiliscus,4,9,88,2253,25
Featured,Hurricane_Erika_(1997),4,6,70,1516,10
Featured,Golden-crowned_sifaka,6,8,155,3772,30
Featured,New_York_State_Route_373,5,6,42,1055,21
Featured,Brian_Eaton,7,5,159,3136,54
Featured,Climate_of_Minnesota,21,9,185,4432,76
Featured,George_Bernard_Shaw,14,6,503,12808,371
Featured,Arthur_Gould_(rugby_union),7,6,189,4546,102
Featured,California_State_Route_52,8,7,159,3879,117
Featured,Geastrum_quadrifidum,7,7,110,2115,41
Featured,Rob-B-Hood,1,8,120,2924,46
Featured,Suillus_bovinus,5,7,89,1873,44
Featured,Free_State_of_Galveston,11,11,197,4666,96
Featured,Little_Thetford,14,13,239,4780,140
Featured,Dustbin_Baby_(film),4,9,130,2838,34
Featured,Cross_of_Gold_speech,9,8,306,7513,108
Featured,Fun_Home,7,7,173,4548,147
Featured,Coeliac_disease,9,12,303,7181,151
Featured,Bob_Dylan,18,12,652,14849,444
Featured,SS_Montanan,2,6,66,1722,43
Featured,Superman_in_film,4,11,277,6521,150
Featured,The_Penelopiad,2,10,134,3253,49
Featured,The_Million_Dollar_Homepage,1,8,78,1929,53
Featured,Columbian_mammoth,24,9,216,5291,51
Featured,"John_Bingham,_7th_Earl_of_Lucan",6,10,334,7791,147
Featured,Phallus_indusiatus,8,8,124,2849,75
Featured,"On_the_Banks_of_the_Wabash,_Far_Away",7,9,110,2738,47
Featured,Acrocanthosaurus,14,7,137,3299,45
Featured,Kangana_Ranaut,6,9,172,4419,140
Featured,Ph%E1%BA%A1m_Ng%E1%BB%8Dc_Th%E1%BA%A3o,5,10,247,6229,113
Featured,Richard_Hakluyt,10,11,93,2504,34
Featured,Yellowhammer,8,10,110,2543,44
Featured,Odwalla,10,6,69,1734,49
Featured,Hungarian_Revolution_of_1956,11,8,367,9327,200
Featured,Black_vulture,11,7,123,2665,56
Featured,Pseudoryzomys,5,7,112,2736,59
Featured,Comet_Shoemaker%E2%80%93Levy_9,12,12,106,3289,48
Featured,Changeling_(film),7,10,454,10180,166
Featured,Canberra,52,17,331,8340,326
Featured,Red-necked_grebe,9,8,111,2809,46
Featured,Pixies,6,10,176,4128,139
Featured,A_Vindication_of_the_Rights_of_Woman,8,9,206,5255,92
Featured,Gerald_Ford,54,13,490,11944,194
Featured,Holkham_National_Nature_Reserve,8,8,84,2595,40
Featured,U.S._Route_31_in_Michigan,15,10,251,5456,109
Featured,Old_Trafford,15,8,224,6686,120
Featured,The_Diary_of_a_Nobody,7,7,181,4866,70
Featured,Bob_Windle,0,8,114,2887,24
Featured,Dwarf_planet,3,11,121,3498,67
Featured,Michigan_State_University,34,11,363,8602,260
Featured,Monarchy_of_the_United_Kingdom,19,12,346,8807,124
Featured,Robert_Falcon_Scott,15,9,210,5990,133
Featured,Western_Chalukya_literature_in_Kannada,10,6,249,6370,158
Featured,Leo_Ornstein,5,8,113,2470,51
Featured,Diorama_(Silverchair_album),3,10,74,1825,44
Featured,Georg_Forster,8,12,144,3786,62
Featured,Jay_Pritzker_Pavilion,21,8,174,4774,120
Featured,Rugby_World_Cup,6,10,108,2483,54
Featured,William_Sterling_Parsons,19,9,248,5064,88
Featured,Red_rail,13,6,109,2886,25
Featured,Edgar_Allan_Poe,14,10,251,5228,155
Featured,MissingNo.,3,5,57,1009,18
Featured,Francis_Harvey,6,6,71,2047,23
Featured,Alben_W._Barkley,19,10,388,9449,185
Featured,White_stork,17,11,289,6579,150
Featured,Benjamin_Franklin_Tilley,5,7,110,2377,32
Featured,D._Djajakusuma,10,8,144,3603,91
Featured,Battle_of_the_Gebora,5,6,75,2360,43
Featured,Amazing_Grace,8,8,250,6976,105
Featured,Photon,10,20,237,6783,115
Featured,Kennedy_half_dollar,11,6,120,2859,49
Featured,USS_Chesapeake_(1799),10,10,199,4125,112
Featured,PNC_Park,15,6,164,3880,113
Featured,Charlie_Chaplin,28,8,548,12758,506
Featured,Dudley_Clarke,5,9,269,6047,53
Featured,Daylight_saving_time,14,12,223,6168,173
Featured,Rainbow_trout,29,11,201,4709,105
Featured,Nature_fakers_controversy,10,9,213,7081,90
Featured,Poitevin_horse,8,5,141,3238,46
Featured,Kennedy_half_dollar,11,6,120,2859,49
Featured,Rainbow_trout,29,11,201,4709,105
Featured,E.T._the_Extra-Terrestrial,11,11,281,4911,105
Featured,Pale_crag_martin,6,10,111,2678,42
Featured,Dwarf_planet,3,11,121,3498,67
Featured,Stephen_Colbert_at_the_2006_White_House_Correspondents%27_Association_Dinner,2,6,165,3746,75
Featured,Asmara_Moerni,6,9,56,1258,29
Featured,Uncle_Tom%27s_Cabin,21,16,261,7387,101
Featured,Tarbosaurus,17,8,153,3546,44
Featured,Przevalski%27s_nuthatch,5,8,87,2097,39
Featured,California_Chrome,19,10,418,10002,255
Featured,Stereolab,2,8,176,4223,85
Featured,Ironclad_warship,28,11,330,8850,86
Featured,Port_Chicago_disaster,16,12,377,9361,116
Featured,Rex_Ryan,8,9,209,5191,140
Featured,John_Millington_Synge,4,6,99,2536,43
Featured,Forksville_Covered_Bridge,7,7,82,2088,30
Featured,Roekiah,9,8,111,2380,67
Featured,2005_Qeshm_earthquake,4,8,76,1870,43
Featured,Roger_Norreis,0,7,87,2197,34
Featured,Peterloo_Massacre,8,9,210,5967,108
Featured,Fertilisation_of_Orchids,12,10,230,6891,107
Featured,Symphony_No._8_(Mahler),10,7,172,4643,68
Featured,Ambohimanga,17,9,291,8245,54
Good,Oecomys_sydandersoni,1,5,50,1021,21
Good,HMS_Hector_(1862),1,5,57,1170,16
Good,Roger_de_Pont_L%27%C3%89v%C3%AAque,1,6,58,1392,21
Good,Roy_Riegels,3,6,88,1787,37
Good,Soul_Reaver_2,2,6,128,3277,73
Good,Mount_Garibaldi,20,12,190,4731,54
Good,Run_Baby_Run_(Garbage_song),1,11,52,1227,38
Good,Air_India_Express_Flight_812,8,12,109,2939,89
Good,SMS_Elbing,1,4,83,1628,25
Good,Thomas_Traherne,8,9,126,3462,44
Good,Stan_McCabe,6,13,371,8900,108
Good,Maximilian_von_Spee,9,5,114,2680,45
Good,Ohio_State_Route_357,3,6,17,412,12
Good,Sabre_Wulf,5,7,95,1950,33
Good,Hydra_the_Revenge,2,6,32,703,12
Good,Quadrophenia,6,13,149,3437,86
Good,Ra%C3%BAl_Alfons%C3%ADn,20,9,294,5780,77
Good,Decline_and_fall_of_Pedro_II_of_Brazil,14,3,361,8474,221
Good,Erica_Hahn,1,5,118,3041,24
Good,Jack_Warhop,3,6,64,1550,27
Good,The_Power_of_Four,0,6,39,1079,25
Good,Patrick_Cleburne,9,9,60,1561,20
Good,Simele_massacre,11,9,141,3723,70
Good,Dr._Holbrook%27s_Military_School,7,7,33,875,18
Good,Oh_Love,2,11,53,1346,35
Good,A_Short_History_of_Progress,1,8,80,2353,23
Good,The_History_of_British_Political_Parties,8,6,31,784,10
Good,Nikolai_Podgorny,3,6,115,2535,28
Good,Siege_of_Smolensk_(1632%E2%80%931633),5,6,59,1464,27
Good,Mitchell_Freeway,11,7,170,3673,53
Good,I_Take_Thee_Quagmire,2,6,70,1645,11
